3202,2022-03-12,Kec. Cicurug Ds. Nanggerang,SUKABUMI,JAWA BARAT,,,,2,,0
3210,2022-03-12,Kec. SindangWangi  Ds. Bantar Agung,MAJALENGKA,JAWA BARAT,,,,0,,0
3210,2022-03-12,Kec. Sindangwangi Ds. Buahkapas,MAJALENGKA,JAWA BARAT,,,,1,,0
3214,2022-03-13,Kec. Wado Ds. Mulyajaya,PURWAKARTA,JAWA BARAT,,,1,0,,1
3204,2022-03-13,Kec. Nagreg Ds. Bojong,BANDUNG,JAWA BARAT,1,,2,4,,0
3502,2022-03-13,Kec. Ngebel Ds. Gondowido  Kec. Badegan Ds. Dayakan,PONOROGO,JAWA TIMUR,,,,3,,0
3210,2022-03-13,Kec. Rajagaluh  Ds. Sindang Panon Kec. Banjaran Ds. Banjaran,MAJALENGKA,JAWA BARAT,,,,1,,0
3211,2022-03-13,Kec. Wado Ds. Mulyajaya,SUMEDANG,JAWA BARAT,,,,1,,0
3307,2022-03-14,Kec. Kalibawang Ds. Karangsambung Ds. dempel  Ds. kalialang  Kec. Kepil Ds. Ngadirojo Kec. Kaliwiro Ds. Kauman Kec. Watumalang Ds. Banyukembar  Kec. Wadaslintang Ds. Ngalian  Ds. Trimulyo  Ds. Somogede  Ds. Tirip  Ds. Karanganyar  Ds. Kalidadap  Kec. Mojotengah Ds. Gunung Pungangan Ds. Mojosari  Kec. Sapuran Ds. Pacekelan,WONOSOBO,JAWA TENGAH,,,,15,,0
3211,2022-03-14,Kec. Tanjungmedar Ds.  Sukatani,SUMEDANG,JAWA BARAT,,,,0,,0
7318,2022-03-14,Kec. Makale  Ds. Bombongan,TANA TORAJA,SULAWESI SELATAN,,,,1,,0
3374,2022-03-15,Kec. Candisari Ds. Candi,KOTA SEMARANG,JAWA TENGAH,,,,0,,0
3307,2022-03-15,Kec. Wadaslintang Ds. Tirip  Ds Sumberejo Ds. Somogede  Kec. Kaliwiro Ds. Medono  Ds. Kauman Ds. Purwosari  Ds. Tracap,WONOSOBO,JAWA TENGAH,,,,15,,0
1603,2022-03-16,Kec. Semende Darat Laut  Ds. Pulau Panggung,MUARA ENIM,SUMATERA SELATAN,,,,3,,0
3505,2022-03-16,Kec. Doko Ds. Sidorejo,BLITAR,JAWA TIMUR,,,,3,,0
1606,2022-03-16,Kec.  Lawang Wetan  Ds. Ulak Paceh Jaya,MUSI BANYU ASIN,SUMATERA SELATAN,,,,2,,0
3579,2022-03-17,Kec. Batu Kel. Temas,KOTA BATU,JAWA TIMUR,,,,0,,0
3201,2022-03-17,Kec. Cigombong Ds. Tugu Jaya,BOGOR,JAWA BARAT,,,,1,,0
3202,2022-03-18,Kec. Kadudampit Ds. Cikahuripan,SUKABUMI,JAWA BARAT,,,,4,,1
3201,2022-03-18,Kec. Cigombong Ds. Tugujaya,BOGOR,JAWA BARAT,,,,1,,0
3211,2022-03-19,Kec. Ganeas Ds. Cikoneng Kulon,SUMEDANG,JAWA BARAT,,,,0,,1
5272,2022-03-19,Kec. Raba Kel. Ntabo,KOTA BIMA,NUSA TENGGARA BARAT,,,,1,,0
3323,2022-03-21,Kec. Pringsurat Ds. Pagergunung,TEMANGGUNG,JAWA TENGAH,,,,2,,0
3510,2022-03-21,Kec. Kalibaru Ds. Kebunrejo,BANYUWANGI,JAWA TIMUR,,,,2,,0
3202,2022-03-21,Kec. Ciwalat Ds. Ciwalat,SUKABUMI,JAWA BARAT,,,,0,,0
3202,2022-03-21,Kec. Nagrak Ds. Girijaya,SUKABUMI,JAWA BARAT,,,,0,,0
3202,2022-03-21,Kec. Cikakak Ds. Cikakak Kec. Cisolok Ds. Pasir Baru Kec. Kabandungan Ds. Tugubandung Kec. Bantargadung Ds. Bantargadung Kec. Caringin Ds. Sukamulya Kec. Cikidang Ds. Sempoa Kec. Pelabuhan Ratu Ds. Pasir Suren Ds. Cikadu Ds Tojong Ds. Buniwangi Ds. Pelabuhan Ratu Ds. Citepus,SUKABUMI,JAWA BARAT,,,,318,,0
3202,2022-03-21,Kec. Purabaya Ds. Citamiang,SUKABUMI,JAWA BARAT,,,,1,,0
3202,2022-03-21,Kec. Warungkiara Ds. Bantarkalong,SUKABUMI,JAWA BARAT,,,,0,,0
